date,Open,High,Low,Close,Volume
2023-08-10,1935.76,1958.16,1930.66,1951.78,395625
2023-08-11,1953.42,1966.88,1936.51,1949.77,195141
2023-08-14,1950.05,1961.73,1926.76,1935.96,279139
2023-08-15,1936.85,1962.23,1930.51,1951.94,270184
2023-08-16,1951.26,1977.77,1941.01,1966.13,239483
2023-08-17,1969.76,1998.45,1955.17,1983.72,267945
2023-08-18,1982.79,1999.01,1973.16,1984.87,122306
2023-08-21,1983.82,2008.28,1975.2,1997.09,149368
2023-08-22,1995.57,2019.57,1979.44,2000.98,419005
2023-08-23,2004.12,2033.78,1993.6,2016.2,347143
2023-08-24,2018.04,2031.66,1994.58,2003.2,243905
2023-08-25,2002.91,2034.59,1992.51,2021.99,138464
2023-08-28,2018.38,2046.94,2007.87,2031.3,313535
2023-08-29,2029.43,2047.1,2020.96,2037.92,404154
2023-08-30,2040.03,2049.49,2028.0,2037.09,261777
2023-08-31,2038.38,2052.0,2031.6,2042.14,147827
2023-09-01,2040.97,2068.42,2032.43,2058.97,140913
2023-09-04,2058.21,2073.49,2050.07,2063.23,156504
2023-09-05,2063.65,2065.88,2054.77,2056.14,177365
2023-09-06,2054.88,2079.49,2043.83,2067.52,349476
2023-09-07,2066.61,2068.46,2066.57,2068.42,362372
2023-09-08,2068.07,2104.63,2058.46,2091.13,260081
2023-09-11,2089.99,2106.11,2077.33,2088.85,345918
2023-09-12,2091.6,2104.88,2061.8,2071.0,338260
2023-09-13,2074.43,2087.99,2058.19,2068.48,88027
2023-09-14,2068.33,2096.57,2055.55,2080.84,366423
2023-09-15,2080.76,2094.94,2070.32,2082.18,132292
2023-09-18,2084.68,2106.06,2076.63,2096.63,196682
2023-09-19,2095.99,2108.06,2082.44,2093.53,370137
2023-09-20,2091.62,2125.13,2075.98,2106.84,386364
2023-09-21,2108.11,2118.73,2094.18,2102.81,150636
2023-09-22,2103.29,2129.82,2095.15,2118.51,123887
2023-09-25,2116.06,2126.16,2110.45,2119.53,220289
2023-09-26,2120.46,2165.16,2115.6,2158.67,206931
2023-09-27,2161.08,2185.14,2138.72,2154.53,280778
2023-09-28,2155.53,2204.17,2145.87,2188.05,384987
2023-09-29,2187.47,2202.34,2147.09,2161.54,163821
2023-10-02,2159.06,2179.38,2145.65,2158.62,371543
2023-10-03,2156.53,2177.77,2142.13,2161.51,283504
2023-10-04,2163.35,2178.3,2137.02,2151.32,148071
2023-10-05,2152.52,2187.4,2140.79,2168.88,405410
2023-10-06,2169.15,2193.76,2161.43,2185.8,369429
2023-10-09,2185.32,2232.48,2174.97,2219.13,305156
2023-10-10,2214.55,2264.02,2205.87,2249.65,258883
2023-10-11,2248.82,2264.43,2242.88,2256.67,163388
2023-10-12,2254.87,2263.91,2225.96,2233.13,415673
2023-10-13,2236.14,2250.9,2209.02,2223.09,359845
2023-10-16,2222.54,2236.09,2191.37,2201.8,259087
2023-10-17,2198.87,2221.49,2184.39,2205.72,376896
2023-10-18,2206.72,2225.25,2193.47,2207.17,408507
2023-10-19,2204.55,2221.56,2192.96,2204.64,185342
2023-10-20,2200.94,2215.64,2179.16,2190.53,84297
2023-10-23,2193.52,2228.23,2185.07,2214.47,234530
2023-10-24,2218.22,2232.97,2207.1,2218.48,310710
2023-10-25,2216.89,2228.78,2179.07,2187.54,90633
2023-10-26,2189.3,2199.9,2177.27,2183.79,149742
2023-10-27,2185.42,2199.43,2158.84,2169.3,378317
2023-10-30,2165.64,2188.73,2156.75,2175.59,331109
2023-10-31,2177.29,2195.14,2160.65,2172.2,359343
2023-11-01,2173.42,2190.87,2163.22,2178.06,144408
2023-11-02,2178.58,2226.98,2170.4,2214.35,260100
2023-11-03,2211.54,2241.61,2200.67,2224.85,361727
2023-11-06,2221.64,2246.17,2206.15,2230.31,289172
2023-11-07,2232.18,2259.54,2220.14,2242.42,243911
2023-11-08,2240.14,2251.3,2234.01,2243.11,331217
2023-11-09,2241.79,2254.85,2232.42,2243.25,242444
2023-11-10,2242.69,2255.41,2220.54,2231.77,374104
2023-11-13,2226.54,2238.47,2206.32,2217.27,282176
2023-11-14,2214.98,2254.33,2203.21,2239.22,297178
2023-11-15,2236.78,2252.74,2216.53,2227.93,274279
2023-11-16,2226.12,2232.73,2217.43,2223.0,84724
2023-11-17,2219.88,2239.06,2201.93,2214.28,299273
2023-11-20,2216.24,2235.07,2204.41,2221.59,193878
2023-11-21,2224.36,2229.81,2217.06,2221.07,330536
2023-11-22,2224.71,2232.81,2211.75,2217.21,359623
2023-11-23,2215.17,2235.43,2198.05,2212.04,312007
2023-11-24,2211.09,2218.63,2170.03,2176.19,271904
2023-11-27,2180.24,2190.68,2145.19,2152.03,251634
2023-11-28,2151.85,2189.98,2136.98,2169.54,289541
2023-11-29,2174.07,2191.16,2165.82,2179.74,260838
2023-11-30,2180.19,2199.68,2158.11,2175.5,310191
2023-12-01,2174.91,2212.54,2166.07,2202.97,201580
2023-12-04,2204.45,2240.05,2192.73,2227.34,362926
2023-12-05,2228.55,2263.25,2214.53,2241.48,238099
2023-12-06,2243.25,2255.39,2231.88,2239.65,159544
2023-12-07,2239.26,2254.62,2222.13,2233.65,105246
2023-12-08,2235.89,2251.7,2219.08,2234.37,364906
2023-12-11,2238.2,2251.94,2228.46,2239.31,166225
2023-12-12,2240.03,2246.5,2234.3,2239.94,305142
2023-12-13,2238.12,2246.52,2218.44,2225.56,406226
2023-12-14,2225.5,2252.41,2211.99,2232.94,184760
2023-12-15,2228.03,2252.61,2218.13,2239.26,263679
2023-12-18,2237.68,2256.64,2226.06,2239.34,276407
2023-12-19,2244.29,2257.73,2221.05,2233.3,105748
2023-12-20,2235.78,2253.39,2222.88,2239.45,154963
